num_waypoint,rgb_img_name,ir_img_name,x,y,z,roll,pitch,yaw
1,rgb_img_wp_1_1.png,ir_img_wp_1_1.png,0.018494,0.000034,10.982864,-0.034158,-0.017563,-0.734738
1,rgb_img_wp_1_2.png,ir_img_wp_1_2.png,0.027780,0.005134,10.978847,0.005825,-0.027699,-0.731247
1,rgb_img_wp_1_3.png,ir_img_wp_1_3.png,0.025793,-0.000311,10.981614,-0.003760,-0.025206,-0.731017
1,rgb_img_wp_1_4.png,ir_img_wp_1_4.png,0.030009,-0.001395,10.981874,0.017241,-0.029172,-0.735601
1,rgb_img_wp_1_5.png,ir_img_wp_1_5.png,0.032698,-0.003583,10.984112,0.030783,-0.030352,-0.735479
